epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,93.3591,1.56153,0.52772,0.96949,1.22292,0.00332962,0.00332962,0.00332962
2,172.614,1.18227,0.60964,0.98328,1.05187,0.00659966,0.00659966,0.00659966
3,244.721,1.13449,0.54193,0.9752,1.20351,0.00980636,0.00980636,0.00980636
4,325.02,1.12525,0.61563,0.98858,1.0216,0.009715,0.009715,0.009715
5,405.117,1.0392,0.64419,0.98872,0.95122,0.00962,0.00962,0.00962
6,485.26,0.99833,0.65227,0.98941,0.94561,0.009525,0.009525,0.009525
7,566.356,0.96136,0.64391,0.98997,0.94971,0.00943,0.00943,0.00943
8,640.794,0.93594,0.66397,0.98955,0.90285,0.009335,0.009335,0.009335
9,711.466,0.91379,0.66815,0.99178,0.90134,0.00924,0.00924,0.00924
10,787.896,0.89187,0.67052,0.99136,0.89382,0.009145,0.009145,0.009145
11,867.912,0.87391,0.67986,0.99345,0.85948,0.00905,0.00905,0.00905
12,938.601,0.86504,0.68167,0.99192,0.86729,0.008955,0.008955,0.008955
13,1009.53,0.84011,0.68431,0.99289,0.8656,0.00886,0.00886,0.00886
14,1080.32,0.83237,0.69072,0.99359,0.84449,0.008765,0.008765,0.008765
15,1160.51,0.81449,0.69504,0.99276,0.84036,0.00867,0.00867,0.00867
16,1240.25,0.81183,0.70159,0.99359,0.84406,0.008575,0.008575,0.008575
17,1320.75,0.79466,0.70103,0.99359,0.82372,0.00848,0.00848,0.00848
18,1400.53,0.78532,0.70242,0.99345,0.81524,0.008385,0.008385,0.008385
19,1480.65,0.77246,0.708,0.99317,0.8195,0.00829,0.00829,0.00829
20,1561.07,0.76363,0.70995,0.99429,0.82264,0.008195,0.008195,0.008195
21,1641.04,0.74806,0.71245,0.99331,0.82747,0.0081,0.0081,0.0081
22,1721.64,0.74389,0.71343,0.99345,0.81823,0.008005,0.008005,0.008005
23,1801.33,0.73994,0.71204,0.99345,0.81874,0.00791,0.00791,0.00791
24,1881.17,0.72649,0.71385,0.99331,0.81853,0.007815,0.007815,0.007815
25,1961.23,0.71305,0.71496,0.99401,0.82219,0.00772,0.00772,0.00772
26,2041.11,0.70594,0.71287,0.99401,0.81916,0.007625,0.007625,0.007625
27,2121.08,0.69657,0.71691,0.99331,0.80914,0.00753,0.00753,0.00753
28,2200.71,0.68412,0.7229,0.99429,0.81305,0.007435,0.007435,0.007435
29,2280.75,0.67688,0.72388,0.99471,0.82035,0.00734,0.00734,0.00734
30,2361.09,0.66231,0.7236,0.99443,0.82446,0.007245,0.007245,0.007245
31,2440.75,0.65984,0.7275,0.99401,0.82726,0.00715,0.00715,0.00715
32,2520.65,0.64368,0.72736,0.99401,0.8313,0.007055,0.007055,0.007055
33,2600.47,0.62584,0.72639,0.99429,0.82741,0.00696,0.00696,0.00696
34,2680.55,0.62622,0.72903,0.99485,0.83167,0.006865,0.006865,0.006865
35,2760.34,0.61599,0.72848,0.99457,0.83508,0.00677,0.00677,0.00677
36,2840.1,0.60717,0.72848,0.99443,0.83713,0.006675,0.006675,0.006675
37,2919.79,0.60628,0.73112,0.99429,0.83715,0.00658,0.00658,0.00658
38,2999.45,0.58904,0.7307,0.99429,0.84522,0.006485,0.006485,0.006485
39,3078.61,0.57492,0.73112,0.99443,0.84419,0.00639,0.00639,0.00639
40,3158.81,0.57116,0.73182,0.99415,0.84444,0.006295,0.006295,0.006295
41,3238.37,0.56112,0.7321,0.99415,0.84782,0.0062,0.0062,0.0062
42,3318.42,0.55065,0.73029,0.99457,0.8527,0.006105,0.006105,0.006105
43,3397.93,0.54381,0.7314,0.99457,0.85993,0.00601,0.00601,0.00601
44,3477.47,0.53377,0.73196,0.99457,0.85309,0.005915,0.005915,0.005915
45,3556.68,0.52087,0.7321,0.99429,0.86009,0.00582,0.00582,0.00582
46,3636.36,0.51986,0.73307,0.99457,0.85811,0.005725,0.005725,0.005725
47,3716.54,0.50781,0.73293,0.99457,0.86186,0.00563,0.00563,0.00563
48,3796.49,0.48878,0.73279,0.99415,0.87023,0.005535,0.005535,0.005535
49,3876.23,0.48895,0.73307,0.99387,0.87438,0.00544,0.00544,0.00544
50,3955.85,0.47161,0.73252,0.99359,0.87562,0.005345,0.005345,0.005345
51,4035.92,0.46307,0.73154,0.99373,0.87159,0.00525,0.00525,0.00525
52,4115.77,0.45733,0.73224,0.99373,0.87672,0.005155,0.005155,0.005155
53,4195.41,0.4461,0.73252,0.99373,0.88562,0.00506,0.00506,0.00506
54,4275.45,0.43644,0.73266,0.99415,0.88117,0.004965,0.004965,0.004965
55,4355.18,0.42778,0.73307,0.99401,0.88379,0.00487,0.00487,0.00487
56,4434.34,0.43048,0.73405,0.99415,0.89301,0.004775,0.004775,0.004775
57,4514.22,0.41038,0.73502,0.99387,0.89155,0.00468,0.00468,0.00468
58,4592.95,0.39325,0.73683,0.99429,0.89308,0.004585,0.004585,0.004585
59,4673.14,0.38878,0.73656,0.99415,0.89589,0.00449,0.00449,0.00449
60,4752.96,0.38106,0.73656,0.99415,0.90899,0.004395,0.004395,0.004395
61,4832.69,0.36591,0.736,0.99401,0.90686,0.0043,0.0043,0.0043
62,4912.33,0.35027,0.73656,0.99401,0.90488,0.004205,0.004205,0.004205
63,4991.97,0.35096,0.73614,0.99429,0.92709,0.00411,0.00411,0.00411
64,5071.63,0.34278,0.73683,0.99429,0.91941,0.004015,0.004015,0.004015
65,5151.51,0.33538,0.7367,0.99457,0.91798,0.00392,0.00392,0.00392
66,5232.11,0.32708,0.73683,0.99457,0.93151,0.003825,0.003825,0.003825
67,5312.33,0.32193,0.73725,0.99443,0.92707,0.00373,0.00373,0.00373
68,5392.56,0.3153,0.73683,0.99443,0.93806,0.003635,0.003635,0.003635
69,5472.83,0.30109,0.736,0.99429,0.94789,0.00354,0.00354,0.00354
70,5552.91,0.29335,0.73572,0.99443,0.94537,0.003445,0.003445,0.003445
71,5633.14,0.28222,0.73614,0.99429,0.94775,0.00335,0.00335,0.00335
72,5713.66,0.27793,0.73572,0.99429,0.95039,0.003255,0.003255,0.003255
73,5793.37,0.26994,0.73558,0.99401,0.9645,0.00316,0.00316,0.00316
74,5873.94,0.26144,0.73488,0.99415,0.96264,0.003065,0.003065,0.003065
75,5953.75,0.24646,0.73433,0.99415,0.96934,0.00297,0.00297,0.00297
76,6034.09,0.24485,0.73433,0.99415,0.98174,0.002875,0.002875,0.002875
77,6114.24,0.23347,0.73433,0.99415,1.00482,0.00278,0.00278,0.00278
78,6194.17,0.22447,0.73321,0.99443,0.99026,0.002685,0.002685,0.002685
79,6274.61,0.21417,0.73363,0.99457,1.01085,0.00259,0.00259,0.00259
80,6354.2,0.20718,0.73335,0.99429,1.01249,0.002495,0.002495,0.002495
81,6434.46,0.20353,0.73279,0.99429,1.00886,0.0024,0.0024,0.0024
82,6514.51,0.19855,0.73238,0.99443,1.02703,0.002305,0.002305,0.002305
83,6594.08,0.18781,0.73488,0.99415,1.05147,0.00221,0.00221,0.00221
84,6673.46,0.18902,0.73558,0.99415,1.03552,0.002115,0.002115,0.002115
85,6753.31,0.17214,0.73586,0.99373,1.04663,0.00202,0.00202,0.00202
86,6833.05,0.1637,0.73558,0.99373,1.05252,0.001925,0.001925,0.001925
87,6913.62,0.15623,0.736,0.99359,1.05857,0.00183,0.00183,0.00183
