epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,161.922,1.057,0.55196,1,1.05267,0.0673515,0.000666295,0.000666295
2,300.783,0.96328,0.62552,1,0.8891,0.0346775,0.00132563,0.00132563
3,434.943,0.91629,0.65171,1,0.83683,0.0019962,0.00197763,0.00197763
4,567.485,0.85519,0.66467,1,0.81687,0.001967,0.001967,0.001967
5,698.956,0.81775,0.68083,1,0.78008,0.001956,0.001956,0.001956
6,830.879,0.77791,0.69309,1,0.74774,0.001945,0.001945,0.001945
7,961.902,0.75382,0.69532,1,0.73501,0.001934,0.001934,0.001934
8,1093.77,0.73446,0.70145,1,0.72772,0.001923,0.001923,0.001923
9,1224.96,0.71305,0.70786,1,0.71207,0.001912,0.001912,0.001912
10,1356.92,0.6987,0.72235,1,0.70096,0.001901,0.001901,0.001901
11,1487.23,0.68007,0.72249,1,0.69335,0.00189,0.00189,0.00189
12,1619.25,0.65589,0.72987,1,0.68373,0.001879,0.001879,0.001879
13,1752.13,0.63623,0.73029,1,0.6727,0.001868,0.001868,0.001868
14,1884.34,0.61331,0.73224,1,0.67962,0.001857,0.001857,0.001857
15,2015.81,0.59292,0.74074,1,0.6702,0.001846,0.001846,0.001846
16,2147.57,0.56815,0.73906,1,0.67647,0.001835,0.001835,0.001835
17,2278.7,0.54765,0.7406,1,0.68154,0.001824,0.001824,0.001824
18,2409.82,0.5197,0.74296,1,0.6845,0.001813,0.001813,0.001813
19,2540.67,0.4893,0.74366,1,0.69079,0.001802,0.001802,0.001802
20,2671.5,0.47028,0.74087,1,0.7009,0.001791,0.001791,0.001791
21,2802.19,0.43139,0.74255,1,0.72247,0.00178,0.00178,0.00178
22,2934.29,0.40449,0.74199,1,0.73494,0.001769,0.001769,0.001769
23,3065.45,0.37791,0.74812,1,0.75287,0.001758,0.001758,0.001758
24,3196.76,0.34538,0.74742,1,0.77123,0.001747,0.001747,0.001747
25,3327.98,0.32311,0.7445,1,0.79868,0.001736,0.001736,0.001736
26,3459.36,0.29601,0.74408,1,0.82139,0.001725,0.001725,0.001725
27,3590.36,0.28134,0.74422,1,0.83522,0.001714,0.001714,0.001714
28,3721.72,0.25049,0.7484,1,0.85646,0.001703,0.001703,0.001703
29,3852.48,0.23474,0.75091,1,0.87781,0.001692,0.001692,0.001692
30,3984.28,0.21727,0.74854,1,0.89889,0.001681,0.001681,0.001681
31,4115.87,0.20624,0.74645,1,0.90907,0.00167,0.00167,0.00167
32,4247.58,0.19168,0.74951,1,0.92244,0.001659,0.001659,0.001659
33,4377.96,0.17877,0.75188,1,0.93645,0.001648,0.001648,0.001648
34,4509.61,0.16563,0.75341,1,0.94976,0.001637,0.001637,0.001637
35,4640.42,0.15917,0.75174,1,0.9608,0.001626,0.001626,0.001626
36,4771.69,0.14857,0.7523,1,0.96736,0.001615,0.001615,0.001615
37,4903.27,0.14989,0.7516,1,0.97636,0.001604,0.001604,0.001604
38,5034.11,0.13831,0.75077,1,0.98495,0.001593,0.001593,0.001593
39,5164.95,0.13598,0.75091,1,0.99228,0.001582,0.001582,0.001582
40,5297.31,0.11926,0.75104,1,1.00191,0.001571,0.001571,0.001571
