epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.3284,1.14736,0.59501,1,0.97978,0.0673031,0.000599332,0.000599332
2,118.569,0.97761,0.60407,1,0.96037,0.0345624,0.00119191,0.00119191
3,155.593,0.93575,0.63945,1,0.86128,0.00181418,0.00177707,0.00177707
4,190.121,0.90534,0.65422,1,0.84479,0.00176659,0.00176659,0.00176659
5,228.07,0.86493,0.67024,1,0.79461,0.00175545,0.00175545,0.00175545
6,261.973,0.83906,0.69462,1,0.75695,0.00174431,0.00174431,0.00174431
7,292.375,0.81457,0.68933,1,0.76421,0.00173317,0.00173317,0.00173317
8,321.572,0.79914,0.69852,1,0.75049,0.00172204,0.00172204,0.00172204
9,355.867,0.7832,0.70967,1,0.72927,0.0017109,0.0017109,0.0017109
10,392.423,0.76924,0.7105,1,0.73251,0.00169976,0.00169976,0.00169976
11,429.809,0.7588,0.70354,1,0.73464,0.00168863,0.00168863,0.00168863
12,466.324,0.74356,0.72053,1,0.72425,0.00167749,0.00167749,0.00167749
13,498.193,0.73218,0.72053,1,0.70418,0.00166635,0.00166635,0.00166635
14,531.965,0.72152,0.7268,1,0.69942,0.00165521,0.00165521,0.00165521
15,568.847,0.71532,0.72625,1,0.69181,0.00164407,0.00164407,0.00164407
16,598.342,0.70001,0.72862,1,0.68289,0.00163294,0.00163294,0.00163294
17,628.14,0.68619,0.73475,1,0.67514,0.0016218,0.0016218,0.0016218
18,661.954,0.67777,0.73363,1,0.67866,0.00161066,0.00161066,0.00161066
19,697.727,0.6675,0.73683,1,0.67289,0.00159952,0.00159952,0.00159952
20,734.378,0.65142,0.7367,1,0.6727,0.00158839,0.00158839,0.00158839
21,774.322,0.64874,0.73906,1,0.66303,0.00157725,0.00157725,0.00157725
22,812.146,0.63632,0.74199,1,0.66113,0.00156611,0.00156611,0.00156611
23,845.623,0.62319,0.73851,1,0.66792,0.00155498,0.00155498,0.00155498
24,879.008,0.61381,0.74255,1,0.66466,0.00154384,0.00154384,0.00154384
25,915.527,0.60558,0.74227,1,0.67066,0.0015327,0.0015327,0.0015327
26,950.644,0.60181,0.7477,1,0.65765,0.00152156,0.00152156,0.00152156
27,980.755,0.58947,0.74603,1,0.65693,0.00151042,0.00151042,0.00151042
28,1013.53,0.57757,0.74742,1,0.65731,0.00149929,0.00149929,0.00149929
29,1050.44,0.56606,0.74742,1,0.65783,0.00148815,0.00148815,0.00148815
30,1088.28,0.56864,0.74909,1,0.65892,0.00147701,0.00147701,0.00147701
31,1125.25,0.54718,0.7477,1,0.65568,0.00146587,0.00146587,0.00146587
32,1167.41,0.54428,0.74896,1,0.66094,0.00145474,0.00145474,0.00145474
33,1209.99,0.53047,0.74896,1,0.65952,0.0014436,0.0014436,0.0014436
34,1254.34,0.52766,0.74896,1,0.65985,0.00143246,0.00143246,0.00143246
35,1291.4,0.51863,0.74909,1,0.66194,0.00142132,0.00142132,0.00142132
36,1331.06,0.51406,0.75118,1,0.66145,0.00141019,0.00141019,0.00141019
37,1370.73,0.50172,0.74979,1,0.65671,0.00139905,0.00139905,0.00139905
38,1410.34,0.49422,0.75132,1,0.65712,0.00138791,0.00138791,0.00138791
39,1447.99,0.49121,0.75118,1,0.65881,0.00137678,0.00137678,0.00137678
40,1484.35,0.47849,0.75077,1,0.65715,0.00136564,0.00136564,0.00136564
41,1520.23,0.47148,0.75077,1,0.66138,0.0013545,0.0013545,0.0013545
42,1556.93,0.46583,0.75118,1,0.65954,0.00134336,0.00134336,0.00134336
43,1592.98,0.45816,0.75104,1,0.65676,0.00133223,0.00133223,0.00133223
44,1628.95,0.44437,0.75063,1,0.66243,0.00132109,0.00132109,0.00132109
45,1665.21,0.4444,0.75118,1,0.65894,0.00130995,0.00130995,0.00130995
46,1701.39,0.43559,0.75188,1,0.66111,0.00129881,0.00129881,0.00129881
47,1737.94,0.42973,0.75174,1,0.66283,0.00128767,0.00128767,0.00128767
48,1775.64,0.42374,0.75188,1,0.66546,0.00127654,0.00127654,0.00127654
49,1812.75,0.41425,0.75327,1,0.67187,0.0012654,0.0012654,0.0012654
50,1850.56,0.4112,0.75341,1,0.65783,0.00125426,0.00125426,0.00125426
51,1887.24,0.4052,0.75244,1,0.66752,0.00124313,0.00124313,0.00124313
52,1923.28,0.403,0.75286,1,0.66442,0.00123199,0.00123199,0.00123199
53,1959.7,0.39979,0.75272,1,0.6627,0.00122085,0.00122085,0.00122085
54,2000.94,0.39911,0.75425,1,0.66506,0.00120971,0.00120971,0.00120971
55,2040.16,0.38227,0.75536,1,0.66668,0.00119857,0.00119857,0.00119857
56,2077.92,0.37635,0.75592,1,0.66198,0.00118744,0.00118744,0.00118744
57,2115.16,0.36995,0.75578,1,0.66661,0.0011763,0.0011763,0.0011763
58,2152.92,0.37626,0.75704,1,0.66689,0.00116516,0.00116516,0.00116516
