epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.8997,1.6977,0.45235,0.95124,1.43325,0.00332359,0.00332359,0.00332359
2,79.9553,1.41706,0.4869,0.9752,1.34121,0.00664594,0.00664594,0.00664594
3,107.018,1.32138,0.43341,0.95751,1.45231,0.00995729,0.00995729,0.00995729
4,133.499,1.29492,0.5535,0.9805,1.18292,0.0099505,0.0099505,0.0099505
5,159.053,1.2386,0.53274,0.97423,1.35329,0.009934,0.009934,0.009934
6,184.884,1.17845,0.57495,0.98036,1.14912,0.0099175,0.0099175,0.0099175
7,211.354,1.13894,0.60045,0.98328,1.09816,0.009901,0.009901,0.009901
8,241.047,1.11267,0.58763,0.98286,1.10685,0.0098845,0.0098845,0.0098845
9,268.672,1.09833,0.62232,0.98718,1.01585,0.009868,0.009868,0.009868
10,298.214,1.08538,0.6173,0.98468,1.0276,0.0098515,0.0098515,0.0098515
11,328.321,1.07565,0.62747,0.98663,0.99857,0.009835,0.009835,0.009835
12,357.451,1.06915,0.62357,0.98718,1.00391,0.0098185,0.0098185,0.0098185
13,384.886,1.0563,0.61215,0.98746,1.04073,0.009802,0.009802,0.009802
14,412.791,1.04994,0.6258,0.98718,1.0121,0.0097855,0.0097855,0.0097855
15,450.19,1.0422,0.63973,0.98844,0.98098,0.009769,0.009769,0.009769
16,489.343,1.03838,0.64405,0.98844,0.96736,0.0097525,0.0097525,0.0097525
17,517.241,1.03128,0.63709,0.98802,0.97696,0.009736,0.009736,0.009736
18,545.6,1.02926,0.63904,0.98997,0.96367,0.0097195,0.0097195,0.0097195
19,575.091,1.01845,0.64712,0.99053,0.94116,0.009703,0.009703,0.009703
20,603.478,1.01802,0.64642,0.98802,0.94716,0.0096865,0.0096865,0.0096865
21,632.125,1.01771,0.65297,0.98969,0.94865,0.00967,0.00967,0.00967
22,660.687,1.0109,0.64753,0.99011,0.94541,0.0096535,0.0096535,0.0096535
23,688.812,1.00759,0.65199,0.99067,0.93224,0.009637,0.009637,0.009637
24,716.879,1.01222,0.65743,0.98997,0.92118,0.0096205,0.0096205,0.0096205
25,745.085,1.00548,0.66509,0.98983,0.91457,0.009604,0.009604,0.009604
26,774.261,0.99685,0.66077,0.99053,0.92103,0.0095875,0.0095875,0.0095875
27,803.478,1.00108,0.65687,0.99094,0.90938,0.009571,0.009571,0.009571
